Maladie;Symptome_1;Symptome_2;Symptome_3;Symptome_4;Symptome_5;Symptome_6;Symptome_7;Symptome_8;Symptome_9;Symptome_10;Symptome_11;Symptome_12;Symptome_13;Symptome_14;Symptome_15;Symptome_16;Symptome_17
Infection fongique (mycose);démangeaisons;éruption cutanée;taches dyschromiques;;;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;éruptions cutanées nodulaires;;;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;larmoiement;;;;;;;;;;;;;
Allergie;tremblements;frissons;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;frissons;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;;;;;;;;;;;;;;
Allergie;tremblements;frissons;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;frissons;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;larmoiement;;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;vomissements;toux;douleur thoracique;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;toux;douleur thoracique;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;vomissements;douleur thoracique;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;vomissements;toux;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);acidité;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;vomissements;toux;douleur thoracique;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;toux;douleur thoracique;;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;
Cholestase chronique;vomissements;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;;
Cholestase chronique;démangeaisons;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;nausées;douleur abdominale;jaunissement des yeux;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;nausées;perte d'appétit;jaunissement des yeux;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;douleur à l'estomac;Brûlure à la miction;Présence de sang dans les urines;;;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;douleur à l'estomac;Brûlure à la miction;Présence de sang dans les urines;;;;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;Brûlure à la miction;Présence de sang dans les urines;;;;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;douleur à l'estomac;Présence de sang dans les urines;;;;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;douleur à l'estomac;Brûlure à la miction;;;;;;;;;;;;;
Réaction médicamenteuse;éruption cutanée;douleur à l'estomac;Brûlure à la miction;Présence de sang dans les urines;;;;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;douleur à l'estomac;Brûlure à la miction;Présence de sang dans les urines;;;;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;Brûlure à la miction;Présence de sang dans les urines;;;;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;douleur à l'estomac;Présence de sang dans les urines;;;;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;douleur à l'estomac;Brûlure à la miction;;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;perte d'appétit;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;;
Ulcère gastro-duodénal;indigestion;perte d'appétit;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;perte d'appétit;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;perte d'appétit;passage de gaz;internal démangeaisons;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;perte d'appétit;douleur abdominale;internal démangeaisons;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;perte d'appétit;douleur abdominale;passage de gaz;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;perte d'appétit;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;perte d'appétit;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;
SIDA;fonte musculaire;plaques dans la gorge;fièvre élevée;extra marital contacts;;;;;;;;;;;;;
SIDA;plaques dans la gorge;fièvre élevée;extra marital contacts;;;;;;;;;;;;;;
SIDA;fonte musculaire;fièvre élevée;extra marital contacts;;;;;;;;;;;;;;
SIDA;fonte musculaire;plaques dans la gorge;extra marital contacts;;;;;;;;;;;;;;
SIDA;fonte musculaire;plaques dans la gorge;fièvre élevée;;;;;;;;;;;;;;
SIDA;fonte musculaire;plaques dans la gorge;fièvre élevée;extra marital contacts;;;;;;;;;;;;;
SIDA;fonte musculaire;plaques dans la gorge;fièvre élevée;extra marital contacts;;;;;;;;;;;;;
SIDA;plaques dans la gorge;fièvre élevée;extra marital contacts;;;;;;;;;;;;;;
SIDA;fonte musculaire;fièvre élevée;extra marital contacts;;;;;;;;;;;;;;
SIDA;fonte musculaire;plaques dans la gorge;fièvre élevée;;;;;;;;;;;;;;
Diabète;fatigue;perte de poids;agitation;léthargie;irrégulier sucre niveau;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;
Diabète;fatigue;perte de poids;agitation;léthargie;irrégulier sucre niveau;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;
Diabète;perte de poids;agitation;léthargie;irrégulier sucre niveau;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;;
Diabète;fatigue;agitation;léthargie;irrégulier sucre niveau;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;;
Diabète;fatigue;perte de poids;léthargie;irrégulier sucre niveau;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;;
Diabète;fatigue;perte de poids;agitation;irrégulier sucre niveau;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;;
Diabète;fatigue;perte de poids;agitation;léthargie;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;;
Diabète;fatigue;perte de poids;agitation;léthargie;irrégulier sucre niveau;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;;
Diabète;fatigue;perte de poids;agitation;léthargie;irrégulier sucre niveau;vision floue et déformée;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;;
Diabète;fatigue;perte de poids;agitation;léthargie;irrégulier sucre niveau;vision floue et déformée;obésité;augmentation de l'appétit;polyurie;;;;;;;;
Gastro-entérite;vomissements;sunken yeux;déshydratation;diarrhée;;;;;;;;;;;;;
Gastro-entérite;vomissements;sunken yeux;déshydratation;diarrhée;;;;;;;;;;;;;
Gastro-entérite;sunken yeux;déshydratation;diarrhée;;;;;;;;;;;;;;
Gastro-entérite;vomissements;déshydratation;diarrhée;;;;;;;;;;;;;;
Gastro-entérite;vomissements;sunken yeux;diarrhée;;;;;;;;;;;;;;
Gastro-entérite;vomissements;sunken yeux;déshydratation;;;;;;;;;;;;;;
Gastro-entérite;vomissements;sunken yeux;déshydratation;diarrhée;;;;;;;;;;;;;
Gastro-entérite;sunken yeux;déshydratation;diarrhée;;;;;;;;;;;;;;
Gastro-entérite;vomissements;déshydratation;diarrhée;;;;;;;;;;;;;;
Gastro-entérite;vomissements;sunken yeux;diarrhée;;;;;;;;;;;;;;
Asthme bronchique;fatigue;toux;fièvre élevée;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;
Asthme bronchique;toux;fièvre élevée;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;;
Asthme bronchique;fatigue;fièvre élevée;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;;
Asthme bronchique;fatigue;toux;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;;
Asthme bronchique;fatigue;toux;fièvre élevée;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;;
Asthme bronchique;fatigue;toux;fièvre élevée;essoufflement;crachats mucoïdes;;;;;;;;;;;;
Asthme bronchique;fatigue;toux;fièvre élevée;essoufflement;antécédents familiaux;;;;;;;;;;;;
Asthme bronchique;fatigue;toux;fièvre élevée;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;
Asthme bronchique;toux;fièvre élevée;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;;
Asthme bronchique;fatigue;fièvre élevée;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;;
Hypertension artérielle;maux de tête;douleur thoracique;étourdissements;perte d'équilibre;manque de concentration;;;;;;;;;;;;
Hypertension artérielle;douleur thoracique;étourdissements;perte d'équilibre;manque de concentration;;;;;;;;;;;;;
Hypertension artérielle;maux de tête;étourdissements;perte d'équilibre;manque de concentration;;;;;;;;;;;;;
Hypertension artérielle;maux de tête;douleur thoracique;perte d'équilibre;manque de concentration;;;;;;;;;;;;;
Hypertension artérielle;maux de tête;douleur thoracique;étourdissements;manque de concentration;;;;;;;;;;;;;
Hypertension artérielle;maux de tête;douleur thoracique;étourdissements;perte d'équilibre;;;;;;;;;;;;;
Hypertension artérielle;maux de tête;douleur thoracique;étourdissements;perte d'équilibre;manque de concentration;;;;;;;;;;;;
Hypertension artérielle;douleur thoracique;étourdissements;perte d'équilibre;manque de concentration;;;;;;;;;;;;;
Hypertension artérielle;maux de tête;étourdissements;perte d'équilibre;manque de concentration;;;;;;;;;;;;;
Hypertension artérielle;maux de tête;douleur thoracique;perte d'équilibre;manque de concentration;;;;;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;vision floue et déformée;Faim excessive;Raîdeur  cou;dépression;irritabilité;visuels troubles;;;;;;;;
Migraine;indigestion;maux de tête;vision floue et déformée;Faim excessive;Raîdeur  cou;dépression;irritabilité;visuels troubles;;;;;;;;;
Migraine;acidité;maux de tête;vision floue et déformée;Faim excessive;Raîdeur  cou;dépression;irritabilité;visuels troubles;;;;;;;;;
Migraine;acidité;indigestion;vision floue et déformée;Faim excessive;Raîdeur  cou;dépression;irritabilité;visuels troubles;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;Faim excessive;Raîdeur  cou;dépression;irritabilité;visuels troubles;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;vision floue et déformée;Raîdeur  cou;dépression;irritabilité;visuels troubles;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;vision floue et déformée;Faim excessive;dépression;irritabilité;visuels troubles;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;vision floue et déformée;Faim excessive;Raîdeur  cou;irritabilité;visuels troubles;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;vision floue et déformée;Faim excessive;Raîdeur  cou;dépression;visuels troubles;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;vision floue et déformée;Faim excessive;Raîdeur  cou;dépression;irritabilité;;;;;;;;;
Spondylose cervicale;douleur dorsale;faiblesse des membres;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;
Spondylose cervicale;douleur dorsale;faiblesse des membres;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;
Spondylose cervicale;faiblesse des membres;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;;
Spondylose cervicale;douleur dorsale;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;;
Spondylose cervicale;douleur dorsale;faiblesse des membres;étourdissements;perte d'équilibre;;;;;;;;;;;;;
Spondylose cervicale;douleur dorsale;faiblesse des membres;douleur de cou;perte d'équilibre;;;;;;;;;;;;;
Spondylose cervicale;douleur dorsale;faiblesse des membres;douleur de cou;étourdissements;;;;;;;;;;;;;
Spondylose cervicale;douleur dorsale;faiblesse des membres;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;
Spondylose cervicale;faiblesse des membres;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;;
Spondylose cervicale;douleur dorsale;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;maux de tête;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;maux de tête;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);maux de tête;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;maux de tête;altération de la conscience;;;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;maux de tête;faiblesse d'un côté du corps;;;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;maux de tête;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);maux de tête;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;maux de tête;altération de la conscience;;;;;;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;perte de poids;fièvre élevée;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;perte de poids;fièvre élevée;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;
Ictère;vomissements;fatigue;perte de poids;fièvre élevée;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;;
Ictère;démangeaisons;fatigue;perte de poids;fièvre élevée;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;;
Ictère;démangeaisons;vomissements;perte de poids;fièvre élevée;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;fièvre élevée;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;perte de poids;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;perte de poids;fièvre élevée;urines foncées;douleur abdominale;;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;perte de poids;fièvre élevée;peau jaunâtre;douleur abdominale;;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;perte de poids;fièvre élevée;peau jaunâtre;urines foncées;;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;transpiration;maux de tête;nausées;douleur musculaire;;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;transpiration;maux de tête;nausées;diarrhée;douleur musculaire;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;transpiration;maux de tête;nausées;diarrhée;douleur musculaire;;;;;;;;;
Paludisme;vomissements;fièvre élevée;transpiration;maux de tête;nausées;diarrhée;douleur musculaire;;;;;;;;;;
Paludisme;frissons;fièvre élevée;transpiration;maux de tête;nausées;diarrhée;douleur musculaire;;;;;;;;;;
Paludisme;frissons;vomissements;transpiration;maux de tête;nausées;diarrhée;douleur musculaire;;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;maux de tête;nausées;diarrhée;douleur musculaire;;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;transpiration;nausées;diarrhée;douleur musculaire;;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;transpiration;maux de tête;diarrhée;douleur musculaire;;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;transpiration;maux de tête;nausées;douleur musculaire;;;;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;léthargie;fièvre élevée;maux de tête;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;
Varicelle;éruption cutanée;fatigue;léthargie;fièvre élevée;maux de tête;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;;
Varicelle;démangeaisons;fatigue;léthargie;fièvre élevée;maux de tête;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;;
Varicelle;démangeaisons;éruption cutanée;léthargie;fièvre élevée;maux de tête;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;fièvre élevée;maux de tête;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;léthargie;maux de tête;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;léthargie;fièvre élevée;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;léthargie;fièvre élevée;maux de tête;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;léthargie;fièvre élevée;maux de tête;perte d'appétit;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;léthargie;fièvre élevée;maux de tête;perte d'appétit;fièvre légère;malaise;Taches rouges sur le corps;;;;;;;
Dengue;éruption cutanée;frissons;douleur articulaire;vomissements;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;douleur musculaire;Taches rouges sur le corps;;;;
Dengue;éruption cutanée;frissons;douleur articulaire;vomissements;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;Taches rouges sur le corps;;;;
Dengue;éruption cutanée;frissons;douleur articulaire;vomissements;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;;;;
Dengue;éruption cutanée;frissons;douleur articulaire;vomissements;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;Taches rouges sur le corps;;;
Dengue;frissons;douleur articulaire;vomissements;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;Taches rouges sur le corps;;;;
Dengue;éruption cutanée;douleur articulaire;vomissements;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;Taches rouges sur le corps;;;;
Dengue;éruption cutanée;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;Taches rouges sur le corps;;;;
Dengue;éruption cutanée;frissons;douleur articulaire;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;Taches rouges sur le corps;;;;
Dengue;éruption cutanée;frissons;douleur articulaire;vomissements;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;Taches rouges sur le corps;;;;
Dengue;éruption cutanée;frissons;douleur articulaire;vomissements;fatigue;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;Taches rouges sur le corps;;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;nausées;constipation;douleur abdominale;diarrhée;toxique aspect (typhos);douleur au ventre;;;;;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;constipation;douleur abdominale;diarrhée;toxique aspect (typhos);douleur au ventre;;;;;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;douleur abdominale;diarrhée;toxique aspect (typhos);douleur au ventre;;;;;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;constipation;diarrhée;toxique aspect (typhos);douleur au ventre;;;;;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;constipation;douleur abdominale;toxique aspect (typhos);douleur au ventre;;;;;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;constipation;douleur abdominale;diarrhée;douleur au ventre;;;;;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;constipation;douleur abdominale;diarrhée;toxique aspect (typhos);;;;;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;constipation;douleur abdominale;diarrhée;toxique aspect (typhos);douleur au ventre;;;;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;constipation;douleur abdominale;diarrhée;toxique aspect (typhos);douleur au ventre;;;;;;
Fièvre typhoïde;frissons;fatigue;fièvre élevée;maux de tête;nausées;constipation;douleur abdominale;diarrhée;toxique aspect (typhos);douleur au ventre;;;;;;;
Hépatite A;douleur articulaire;vomissements;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;
Hépatite A;douleur articulaire;vomissements;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;
Hépatite A;vomissements;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;;
Hépatite A;douleur articulaire;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;;
Hépatite A;douleur articulaire;vomissements;urines foncées;nausées;perte d'appétit;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;;
Hépatite A;douleur articulaire;vomissements;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;;
Hépatite A;douleur articulaire;vomissements;peau jaunâtre;urines foncées;perte d'appétit;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;;
Hépatite A;douleur articulaire;vomissements;peau jaunâtre;urines foncées;nausées;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;;
Hépatite A;douleur articulaire;vomissements;peau jaunâtre;urines foncées;nausées;perte d'appétit;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;;
Hépatite A;douleur articulaire;vomissements;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;;
Hépatite B;démangeaisons;fatigue;léthargie;peau jaunâtre;urines foncées;perte d'appétit;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;
Hépatite B;démangeaisons;fatigue;léthargie;peau jaunâtre;urines foncées;perte d'appétit;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;
Hépatite B;fatigue;léthargie;peau jaunâtre;urines foncées;perte d'appétit;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;;
Hépatite B;démangeaisons;léthargie;peau jaunâtre;urines foncées;perte d'appétit;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;;
Hépatite B;démangeaisons;fatigue;peau jaunâtre;urines foncées;perte d'appétit;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;;
Hépatite B;démangeaisons;fatigue;léthargie;urines foncées;perte d'appétit;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;;
Hépatite B;démangeaisons;fatigue;léthargie;peau jaunâtre;perte d'appétit;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;;
Hépatite B;démangeaisons;fatigue;léthargie;peau jaunâtre;urines foncées;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;;
Hépatite B;démangeaisons;fatigue;léthargie;peau jaunâtre;urines foncées;perte d'appétit;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;;
Hépatite B;démangeaisons;fatigue;léthargie;peau jaunâtre;urines foncées;perte d'appétit;douleur abdominale;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;;
Hépatite C;fatigue;peau jaunâtre;nausées;perte d'appétit;antécédents familiaux;;;;;;;;;;;;
Hépatite C;fatigue;peau jaunâtre;nausées;perte d'appétit;jaunissement des yeux;antécédents familiaux;;;;;;;;;;;
Hépatite C;peau jaunâtre;nausées;perte d'appétit;jaunissement des yeux;antécédents familiaux;;;;;;;;;;;;
Hépatite C;fatigue;nausées;perte d'appétit;jaunissement des yeux;antécédents familiaux;;;;;;;;;;;;
Hépatite C;fatigue;peau jaunâtre;perte d'appétit;jaunissement des yeux;antécédents familiaux;;;;;;;;;;;;
Hépatite C;fatigue;peau jaunâtre;nausées;jaunissement des yeux;antécédents familiaux;;;;;;;;;;;;
Hépatite C;fatigue;peau jaunâtre;nausées;perte d'appétit;antécédents familiaux;;;;;;;;;;;;
